ID,Student,Period,Gender,Class,Subject,Mark,Is_new_sub,Average_grade,Perform_trend
1,1,1,М,8,Алг.,3,1,3.89,0
2,1,2,М,8,Алг.,3,0,3.89,0
3,1,3,М,8,Алг.,3,0,3.89,0
4,1,4,М,8,Алг.,3,0,3.96,0
5,2,1,М,8,Алг.,3,1,3.39,0
6,2,2,М,8,Алг.,3,0,3.39,0
7,2,3,М,8,Алг.,3,0,3.42,0
8,2,4,М,8,Алг.,3,0,3.44,0
9,26,1,М,8,Алг.,2,1,3.61,0
10,26,2,М,8,Алг.,2,0,3.61,0
11,26,3,М,8,Алг.,3,0,3.56,1
12,26,4,М,8,Алг.,2,0,3.57,-1
13,3,1,М,8,Алг.,3,1,3.28,0
14,3,2,М,8,Алг.,3,0,3.28,0
15,3,3,М,8,Алг.,3,0,3.33,0
16,3,4,М,8,Алг.,3,0,3.33,0
17,4,1,Ж,8,Алг.,3,1,3.89,0
18,4,2,Ж,8,Алг.,3,0,3.89,0
19,4,3,Ж,8,Алг.,3,0,3.86,0
20,4,4,Ж,8,Алг.,3,0,3.89,0
21,5,1,М,8,Алг.,3,1,3.33,0
22,5,2,М,8,Алг.,3,0,3.33,0
23,5,3,М,8,Алг.,3,0,3.39,0
24,5,4,М,8,Алг.,3,0,3.41,0
25,6,1,Ж,8,Алг.,4,1,4.33,0
26,6,2,Ж,8,Алг.,4,0,4.33,0
27,6,3,Ж,8,Алг.,4,0,4.25,0
28,6,4,Ж,8,Алг.,3,0,4.28,-1
29,7,1,М,8,Алг.,3,1,3.44,0
30,7,2,М,8,Алг.,3,0,3.44,0
31,7,3,М,8,Алг.,3,0,3.56,0
32,7,4,М,8,Алг.,3,0,3.61,0
33,8,1,Ж,8,Алг.,3,1,3.78,0
34,8,2,Ж,8,Алг.,3,0,3.78,0
35,8,3,Ж,8,Алг.,3,0,3.81,0
36,8,4,Ж,8,Алг.,3,0,3.76,0
37,9,1,М,8,Алг.,3,1,4.0,0
38,9,2,М,8,Алг.,3,0,4.0,0
39,9,3,М,8,Алг.,3,0,4.06,0
40,9,4,М,8,Алг.,3,0,4.04,0
41,10,1,Ж,8,Алг.,3,1,4.17,0
42,10,2,Ж,8,Алг.,3,0,4.17,0
43,10,3,Ж,8,Алг.,4,0,4.19,1
44,10,4,Ж,8,Алг.,4,0,4.2,0
45,11,1,Ж,8,Алг.,3,1,3.5,0
46,11,2,Ж,8,Алг.,3,0,3.5,0
47,11,3,Ж,8,Алг.,3,0,3.58,0
48,11,4,Ж,8,Алг.,3,0,3.56,0
49,12,1,М,8,Алг.,3,1,3.61,0
50,12,2,М,8,Алг.,3,0,3.61,0
51,12,3,М,8,Алг.,3,0,3.69,0
52,12,4,М,8,Алг.,3,0,3.72,0
53,13,1,Ж,8,Алг.,3,1,3.94,0
54,13,2,Ж,8,Алг.,4,0,3.94,1
55,13,3,Ж,8,Алг.,3,0,4.08,-1
56,13,4,Ж,8,Алг.,3,0,4.04,0
57,14,1,Ж,8,Алг.,4,1,4.0,0
58,14,2,Ж,8,Алг.,4,0,4.0,0
59,14,3,Ж,8,Алг.,4,0,4.11,0
60,14,4,Ж,8,Алг.,3,0,4.13,-1
61,15,1,М,8,Алг.,3,1,3.67,0
62,15,2,М,8,Алг.,3,0,3.67,0
63,15,3,М,8,Алг.,3,0,3.72,0
64,15,4,М,8,Алг.,3,0,3.69,0
65,16,1,Ж,8,Алг.,4,1,4.0,0
66,16,2,Ж,8,Алг.,3,0,4.0,-1
67,16,3,Ж,8,Алг.,3,0,4.03,0
68,16,4,Ж,8,Алг.,3,0,4.04,0
69,17,1,М,8,Алг.,3,1,3.61,0
70,17,2,М,8,Алг.,3,0,3.61,0
71,17,3,М,8,Алг.,4,0,3.61,1
72,17,4,М,8,Алг.,3,0,3.57,-1
73,18,1,М,8,Алг.,3,1,3.39,0
74,18,2,М,8,Алг.,3,0,3.39,0
75,18,3,М,8,Алг.,3,0,3.39,0
76,18,4,М,8,Алг.,3,0,3.35,0
77,19,1,М,8,Алг.,3,1,3.61,0
78,19,2,М,8,Алг.,3,0,3.61,0
79,19,3,М,8,Алг.,3,0,3.67,0
80,19,4,М,8,Алг.,3,0,3.63,0
81,20,1,М,8,Алг.,3,1,3.39,0
82,20,2,М,8,Алг.,3,0,3.39,0
83,20,3,М,8,Алг.,3,0,3.39,0
84,20,4,М,8,Алг.,3,0,3.37,0
85,21,1,Ж,8,Алг.,3,1,4.11,0
86,21,2,Ж,8,Алг.,3,0,4.11,0
87,21,3,Ж,8,Алг.,3,0,4.06,0
88,21,4,Ж,8,Алг.,3,0,4.09,0
89,22,1,Ж,8,Алг.,4,1,4.44,0
90,22,2,Ж,8,Алг.,4,0,4.44,0
91,22,3,Ж,8,Алг.,5,0,4.56,1
92,22,4,Ж,8,Алг.,5,0,4.63,0
93,23,1,Ж,8,Алг.,4,1,4.0,0
94,23,2,Ж,8,Алг.,4,0,4.0,0
