ID,Student,Period,Gender,Class,Subject,Mark,Is_new_sub,Average_grade,Perform_trend,Missed_Classes
1,1,1,М,8,Алг.,3,1,3.89,0,0
2,1,2,М,8,Алг.,3,0,3.89,0,6
3,1,3,М,8,Алг.,3,0,3.89,0,12
4,1,4,М,8,Алг.,3,0,3.96,0,9
5,2,1,М,8,Алг.,3,1,3.39,0,2
6,2,2,М,8,Алг.,3,0,3.39,0,7
7,2,3,М,8,Алг.,3,0,3.42,0,14
8,2,4,М,8,Алг.,3,0,3.44,0,6
9,26,1,М,8,Алг.,2,1,3.61,0,4
10,26,2,М,8,Алг.,2,0,3.61,0,14
11,26,3,М,8,Алг.,3,0,3.56,1,16
12,26,4,М,8,Алг.,2,0,3.57,-1,17
13,3,1,М,8,Алг.,3,1,3.28,0,0
14,3,2,М,8,Алг.,3,0,3.28,0,12
15,3,3,М,8,Алг.,3,0,3.33,0,16
16,3,4,М,8,Алг.,3,0,3.33,0,18
17,4,1,Ж,8,Алг.,3,1,3.89,0,0
18,4,2,Ж,8,Алг.,3,0,3.89,0,8
19,4,3,Ж,8,Алг.,3,0,3.86,0,3
20,4,4,Ж,8,Алг.,3,0,3.89,0,1
21,5,1,М,8,Алг.,3,1,3.33,0,2
22,5,2,М,8,Алг.,3,0,3.33,0,7
23,5,3,М,8,Алг.,3,0,3.39,0,5
24,5,4,М,8,Алг.,3,0,3.41,0,1
25,6,1,Ж,8,Алг.,4,1,4.33,0,2
26,6,2,Ж,8,Алг.,4,0,4.33,0,6
27,6,3,Ж,8,Алг.,4,0,4.25,0,7
28,6,4,Ж,8,Алг.,3,0,4.28,-1,1
29,7,1,М,8,Алг.,3,1,3.44,0,0
30,7,2,М,8,Алг.,3,0,3.44,0,2
31,7,3,М,8,Алг.,3,0,3.56,0,2
32,7,4,М,8,Алг.,3,0,3.61,0,3
33,8,1,Ж,8,Алг.,3,1,3.78,0,1
34,8,2,Ж,8,Алг.,3,0,3.78,0,2
35,8,3,Ж,8,Алг.,3,0,3.81,0,8
36,8,4,Ж,8,Алг.,3,0,3.76,0,5
37,9,1,М,8,Алг.,3,1,4.0,0,1
38,9,2,М,8,Алг.,3,0,4.0,0,15
39,9,3,М,8,Алг.,3,0,4.06,0,18
40,9,4,М,8,Алг.,3,0,4.04,0,11
41,10,1,Ж,8,Алг.,3,1,4.17,0,0
42,10,2,Ж,8,Алг.,3,0,4.17,0,6
43,10,3,Ж,8,Алг.,4,0,4.19,1,2
44,10,4,Ж,8,Алг.,4,0,4.2,0,6
45,11,1,Ж,8,Алг.,3,1,3.5,0,2
46,11,2,Ж,8,Алг.,3,0,3.5,0,4
47,11,3,Ж,8,Алг.,3,0,3.58,0,9
48,11,4,Ж,8,Алг.,3,0,3.56,0,9
49,12,1,М,8,Алг.,3,1,3.61,0,2
50,12,2,М,8,Алг.,3,0,3.61,0,3
51,12,3,М,8,Алг.,3,0,3.69,0,1
52,12,4,М,8,Алг.,3,0,3.72,0,1
53,13,1,Ж,8,Алг.,3,1,3.94,0,0
54,13,2,Ж,8,Алг.,4,0,3.94,1,2
55,13,3,Ж,8,Алг.,3,0,4.08,-1,3
56,13,4,Ж,8,Алг.,3,0,4.04,0,8
57,14,1,Ж,8,Алг.,4,1,4.0,0,0
58,14,2,Ж,8,Алг.,4,0,4.0,0,9
59,14,3,Ж,8,Алг.,4,0,4.11,0,4
60,14,4,Ж,8,Алг.,3,0,4.13,-1,5
61,15,1,М,8,Алг.,3,1,3.67,0,2
62,15,2,М,8,Алг.,3,0,3.67,0,12
63,15,3,М,8,Алг.,3,0,3.72,0,9
64,15,4,М,8,Алг.,3,0,3.69,0,3
65,16,1,Ж,8,Алг.,4,1,4.0,0,3
66,16,2,Ж,8,Алг.,3,0,4.0,-1,4
67,16,3,Ж,8,Алг.,3,0,4.03,0,6
68,16,4,Ж,8,Алг.,3,0,4.04,0,3
69,17,1,М,8,Алг.,3,1,3.61,0,0
70,17,2,М,8,Алг.,3,0,3.61,0,3
71,17,3,М,8,Алг.,4,0,3.61,1,10
72,17,4,М,8,Алг.,3,0,3.57,-1,7
73,18,1,М,8,Алг.,3,1,3.39,0,0
74,18,2,М,8,Алг.,3,0,3.39,0,6
75,18,3,М,8,Алг.,3,0,3.39,0,4
76,18,4,М,8,Алг.,3,0,3.35,0,0
77,19,1,М,8,Алг.,3,1,3.61,0,4
78,19,2,М,8,Алг.,3,0,3.61,0,6
79,19,3,М,8,Алг.,3,0,3.67,0,10
80,19,4,М,8,Алг.,3,0,3.63,0,11
81,20,1,М,8,Алг.,3,1,3.39,0,0
82,20,2,М,8,Алг.,3,0,3.39,0,2
83,20,3,М,8,Алг.,3,0,3.39,0,1
84,20,4,М,8,Алг.,3,0,3.37,0,8
85,21,1,Ж,8,Алг.,3,1,4.11,0,0
86,21,2,Ж,8,Алг.,3,0,4.11,0,11
87,21,3,Ж,8,Алг.,3,0,4.06,0,19
88,21,4,Ж,8,Алг.,3,0,4.09,0,16
89,22,1,Ж,8,Алг.,4,1,4.44,0,2
90,22,2,Ж,8,Алг.,4,0,4.44,0,1
91,22,3,Ж,8,Алг.,5,0,4.56,1,6
92,22,4,Ж,8,Алг.,5,0,4.63,0,13
93,23,1,Ж,8,Алг.,4,1,4.0,0,4
94,23,2,Ж,8,Алг.,4,0,4.0,0,9
95,23,3,Ж,8,Алг.,3,0,4.08,-1,9
96,23,4,Ж,8,Алг.,4,0,4.0,1,9
97,24,1,Ж,8,Алг.,3,1,3.72,0,4
98,24,2,Ж,8,Алг.,3,0,3.72,0,3
99,24,3,Ж,8,Алг.,3,0,3.75,0,9
100,24,4,Ж,8,Алг.,3,0,3.83,0,1
101,25,1,Ж,8,Алг.,3,1,3.83,0,2
102,25,2,Ж,8,Алг.,3,0,3.83,0,2
103,25,3,Ж,8,Алг.,3,0,3.89,0,7
104,25,4,Ж,8,Алг.,3,0,3.94,0,3
105,1,1,М,8,Англ.яз,4,1,3.89,0,2
106,1,2,М,8,Англ.яз,4,0,3.89,0,7
107,1,3,М,8,Англ.яз,4,0,3.89,0,8
108,1,4,М,8,Англ.яз,4,0,3.96,0,6
109,2,1,М,8,Англ.яз,3,1,3.39,0,6
110,2,2,М,8,Англ.яз,3,0,3.39,0,7
111,2,3,М,8,Англ.яз,3,0,3.42,0,11
112,2,4,М,8,Англ.яз,3,0,3.44,0,1
113,26,1,М,8,Англ.яз,3,1,3.61,0,4
114,26,2,М,8,Англ.яз,3,0,3.61,0,12
115,26,3,М,8,Англ.яз,3,0,3.56,0,12
116,26,4,М,8,Англ.яз,3,0,3.57,0,12
117,3,1,М,8,Англ.яз,3,1,3.28,0,0
118,3,2,М,8,Англ.яз,3,0,3.28,0,10
119,3,3,М,8,Англ.яз,3,0,3.33,0,15
120,3,4,М,8,Англ.яз,3,0,3.33,0,17
121,4,1,Ж,8,Англ.яз,3,1,3.89,0,0
122,4,2,Ж,8,Англ.яз,3,0,3.89,0,8
123,4,3,Ж,8,Англ.яз,3,0,3.86,0,1
124,4,4,Ж,8,Англ.яз,3,0,3.89,0,0
125,5,1,М,8,Англ.яз,3,1,3.33,0,3
126,5,2,М,8,Англ.яз,3,0,3.33,0,6
127,5,3,М,8,Англ.яз,3,0,3.39,0,5
128,5,4,М,8,Англ.яз,3,0,3.41,0,2
129,6,1,Ж,8,Англ.яз,4,1,4.33,0,3
130,6,2,Ж,8,Англ.яз,4,0,4.33,0,6
131,6,3,Ж,8,Англ.яз,4,0,4.25,0,9
132,6,4,Ж,8,Англ.яз,4,0,4.28,0,4
133,7,1,М,8,Англ.яз,3,1,3.44,0,0
134,7,2,М,8,Англ.яз,3,0,3.44,0,3
135,7,3,М,8,Англ.яз,3,0,3.56,0,0
136,7,4,М,8,Англ.яз,4,0,3.61,1,3
137,8,1,Ж,8,Англ.яз,4,1,3.78,0,0
138,8,2,Ж,8,Англ.яз,3,0,3.78,-1,4
139,8,3,Ж,8,Англ.яз,3,0,3.81,0,8
140,8,4,Ж,8,Англ.яз,4,0,3.76,1,4
141,9,1,М,8,Англ.яз,4,1,4.0,0,6
142,9,2,М,8,Англ.яз,4,0,4.0,0,10
143,9,3,М,8,Англ.яз,4,0,4.06,0,13
144,9,4,М,8,Англ.яз,5,0,4.04,1,9
145,10,1,Ж,8,Англ.яз,4,1,4.17,0,0
146,10,2,Ж,8,Англ.яз,4,0,4.17,0,5
147,10,3,Ж,8,Англ.яз,4,0,4.19,0,1
148,10,4,Ж,8,Англ.яз,4,0,4.2,0,2
149,11,1,Ж,8,Англ.яз,3,1,3.5,0,2
150,11,2,Ж,8,Англ.яз,3,0,3.5,0,7
151,11,3,Ж,8,Англ.яз,3,0,3.58,0,8
152,11,4,Ж,8,Англ.яз,3,0,3.56,0,9
153,12,1,М,8,Англ.яз,4,1,3.61,0,2
154,12,2,М,8,Англ.яз,4,0,3.61,0,3
155,12,3,М,8,Англ.яз,3,0,3.69,-1,1
156,12,4,М,8,Англ.яз,4,0,3.72,1,0
157,13,1,Ж,8,Англ.яз,4,1,3.94,0,9
158,13,2,Ж,8,Англ.яз,5,0,3.94,1,3
159,13,3,Ж,8,Англ.яз,4,0,4.08,-1,5
160,13,4,Ж,8,Англ.яз,4,0,4.04,0,6
161,14,1,Ж,8,Англ.яз,4,1,4.0,0,1
162,14,2,Ж,8,Англ.яз,4,0,4.0,0,7
163,14,3,Ж,8,Англ.яз,4,0,4.11,0,9
164,14,4,Ж,8,Англ.яз,4,0,4.13,0,9
165,15,1,М,8,Англ.яз,4,1,3.67,0,1
166,15,2,М,8,Англ.яз,4,0,3.67,0,9
167,15,3,М,8,Англ.яз,3,0,3.72,-1,5
168,15,4,М,8,Англ.яз,4,0,3.69,1,3
169,16,1,Ж,8,Англ.яз,3,1,4.0,0,3
170,16,2,Ж,8,Англ.яз,4,0,4.0,1,6
171,16,3,Ж,8,Англ.яз,3,0,4.03,-1,3
172,16,4,Ж,8,Англ.яз,4,0,4.04,1,8
173,17,1,М,8,Англ.яз,3,1,3.61,0,0
174,17,2,М,8,Англ.яз,3,0,3.61,0,3
175,17,3,М,8,Англ.яз,3,0,3.61,0,8
176,17,4,М,8,Англ.яз,3,0,3.57,0,5
177,18,1,М,8,Англ.яз,3,1,3.39,0,0
178,18,2,М,8,Англ.яз,3,0,3.39,0,8
179,18,3,М,8,Англ.яз,3,0,3.39,0,3
180,18,4,М,8,Англ.яз,3,0,3.35,0,0
181,19,1,М,8,Англ.яз,3,1,3.61,0,5
182,19,2,М,8,Англ.яз,4,0,3.61,1,6
183,19,3,М,8,Англ.яз,4,0,3.67,0,10
184,19,4,М,8,Англ.яз,4,0,3.63,0,5
185,20,1,М,8,Англ.яз,3,1,3.39,0,0
186,20,2,М,8,Англ.яз,3,0,3.39,0,4
187,20,3,М,8,Англ.яз,3,0,3.39,0,5
188,20,4,М,8,Англ.яз,3,0,3.37,0,5
189,21,1,Ж,8,Англ.яз,4,1,4.11,0,1
190,21,2,Ж,8,Англ.яз,4,0,4.11,0,11
191,21,3,Ж,8,Англ.яз,4,0,4.06,0,8
192,21,4,Ж,8,Англ.яз,5,0,4.09,1,12
193,22,1,Ж,8,Англ.яз,4,1,4.44,0,3
194,22,2,Ж,8,Англ.яз,4,0,4.44,0,3
195,22,3,Ж,8,Англ.яз,5,0,4.56,1,4
196,22,4,Ж,8,Англ.яз,5,0,4.63,0,9
197,23,1,Ж,8,Англ.яз,3,1,4.0,0,3
198,23,2,Ж,8,Англ.яз,4,0,4.0,1,11
199,23,3,Ж,8,Англ.яз,3,0,4.08,-1,7
